url,objectsh,finalrank,facerank,strongcol1percent
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324372/medium/1491810199/enhance,4,2.43,1,4
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325625/medium/1491810640/enhance,2,1.21,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328495/medium/1491810920/enhance,2,1.28,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323640/medium/1491809891/enhance,0,3.54,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323927/medium/1491810006/enhance,0,1.36,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325718/medium/1491810661/enhance,3,2.1,2,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323891/medium/1491809989/enhance,2,3.49,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324976/medium/1491810414/enhance,4,0.5,4,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863327898/medium/1491810757/enhance,1,2.59,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330173/medium/1491811415/enhance,1,1.23,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324226/medium/1491810137/enhance,4,2.46,1,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329347/medium/1491811163/enhance,1,1.43,0,3
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329741/medium/1491811284/enhance,0,1.58,2,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330765/medium/1491811606/enhance,3,1.23,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332553/medium/1491812251/enhance,2,1.42,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331358/medium/1491811791/enhance,2,1.3,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324831/medium/1491810354/enhance,1,1.32,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323910/medium/1491809999/enhance,4,0.95,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325002/medium/1491810425/enhance,4,1.42,0,0
